entry_time,exit_time,position_type,P_entry,exit_price,PnL
2024-11-01 09:40:10.619,2024-11-03 17:00:06.570,short,1.08512,1.08799,-0.002869999999999928
2024-11-03 20:23:29.304,2024-11-04 06:58:24.296,long,1.0886,1.09134,0.0027399999999999647
2024-11-05 19:23:58.020,2024-11-05 19:41:43.490,short,1.08825,1.08552,0.002729999999999899
2024-11-05 23:38:29.808,2024-11-06 01:06:21.809,long,1.07729,1.07456,-0.0027300000000001212
2024-11-06 01:12:27.177,2024-11-06 01:34:56.909,short,1.07405,1.0713,0.00275000000000003
2024-11-06 03:34:24.662,2024-11-06 06:12:13.908,long,1.07565,1.07293,-0.0027200000000000557
2024-11-06 06:16:46.955,2024-11-06 07:22:48.238,short,1.07272,1.07003,0.002689999999999859
2024-11-06 10:08:49.273,2024-11-07 02:12:55.490,long,1.07361,1.0763,0.002690000000000081
2024-11-07 14:42:36.206,2024-11-07 15:04:16.781,short,1.07705,1.07977,-0.0027199999999998337
2024-11-13 08:30:07.068,2024-11-13 09:28:08.936,long,1.06471,1.06204,-0.00266999999999995
2024-11-13 09:50:27.442,2024-11-13 10:06:11.521,short,1.06007,1.0574,0.0026700000000001722
2024-11-14 09:19:12.982,2024-11-14 10:20:37.033,long,1.05489,1.05754,0.002649999999999819
2024-11-14 15:04:57.091,2024-11-15 01:46:49.864,short,1.05295,1.0556,-0.002650000000000041
2024-11-15 03:30:53.553,2024-11-15 08:13:58.372,long,1.05648,1.05913,0.002649999999999819
2024-11-15 09:22:58.746,2024-11-18 04:23:43.980,short,1.05401,1.05665,-0.0026400000000001977
2024-11-18 04:30:19.514,2024-11-18 06:03:29.448,long,1.05691,1.05425,-0.0026600000000001067
2024-11-19 04:18:56.527,2024-11-19 04:21:58.164,short,1.05541,1.05276,0.002650000000000041
